Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
A Wayward Art: Battle-Pieces and Melville's Poetic Turn,"Marrs, Cody","American Literature: A Journal of Literary History, Criticism, and Bibliography",15272117,,1-Mar-10,82,1,91,,2010380638,10.1215/00029831-2009-070,,Journal Article,"1800-1899; poetic structure; American Civil War; literary career; American literature; Melville, Herman; Battle Pieces and Aspects of War; poetry",,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=2010380638&site=ehost-live
"Colored Empires in the 1930s: Black Internationalism, the U.S. Black Press, and George Samuel Schuyler","Taketani, Etsuko","American Literature: A Journal of Literary History, Criticism, and Bibliography",15272117,,1-Mar-10,82,1,121,,2010380639,10.1215/00029831-2009-071,,Journal Article,"1900-1999; black identity; empire; internationalism; Italo-Ethiopian War (1935-1936); African American press; American literature; Schuyler, George Samuel; Black Empire; fiction",,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=2010380639&site=ehost-live
Contraband Singing: Poems and Songs in Circulation during the Civil War,"Cohen, Michael C.","American Literature: A Journal of Literary History, Criticism, and Bibliography",15272117,,1-Jun-10,82,2,271,,2010381714,10.1215/00029831-2010-002,,Journal Article,1800-1899; poetry; popular poetry; song; poetic voice; fugitive slaves; American Civil War; circulation; American literature,,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=2010381714&site=ehost-live
Dying Instruction: Puritan Pedagogy in Uncle Tom's Cabin,"Farrell, Molly","American Literature: A Journal of Literary History, Criticism, and Bibliography",15272117,,1-Jun-10,82,2,243,,2010381713,10.1215/00029831-2010-001,,Journal Article,"1800-1899; death; children; innocence; outsider; moral instruction; Puritanism; American literature; Stowe, Harriet Beecher; Uncle Tom's Cabin; novel; Janeway, James; A Token for Children; Sherwood, Mary Martha Butt; 'Little Henry and His Bearer'",,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=2010381713&site=ehost-live
"Embodied Eloquence, the Sumner Assault, and the Transatlantic Cable","Hanlon, Christopher","American Literature: A Journal of Literary History, Criticism, and Bibliography",15272117,,1-Sep-10,82,3,489,,2010383173,10.1215/00029831-2010-022,,Journal Article,"1800-1899; prose; metaphor; electricity; eloquence; human body; telegraph; transnationalism; political conflict; American literature; Sumner, Charles",,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=2010383173&site=ehost-live
"Emersonian Terrorism: John Brown, Islam, and Postsecular Violence","Ziser, Michael","American Literature: A Journal of Literary History, Criticism, and Bibliography",15272117,,1-Jun-10,82,2,333,,2010381716,10.1215/00029831-2010-004,,Journal Article,"1800-1899; violence; secularism; abolitionist movement; terrorism; Islam; American literature; Emerson, Ralph Waldo; prose; Brown, John",,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=2010381716&site=ehost-live
From Sympathy to Empathy: Anzia Yezierska and the Transformation of the American Subject,"Mikkelsen, Ann","American Literature: A Journal of Literary History, Criticism, and Bibliography",15272117,,1-Jun-10,82,2,361,,2010381717,10.1215/00029831-2010-005,,Journal Article,"1900-1999; Jewish American women writers; female body; aesthetics; cultural assimilation; film adaptation; dramatic arts; film; American literature; Yezierska, Anzia; Hungry Hearts; 'Wings'; Salome of the Tenements; short story",,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=2010381717&site=ehost-live
"Hearing Lost, Hearing Found: George Washington Cable and the Phono-Ethnographic Ear","Hochman, Brian","American Literature: A Journal of Literary History, Criticism, and Bibliography",15272117,,1-Sep-10,82,3,519,,2010383174,10.1215/00029831-2010-023,,Journal Article,"1800-1899; ethnic identity; literary dialect; phonograph; American literature; Cable, George Washington; The Grandissimes; novel",,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=2010383174&site=ehost-live
Heartfelt Thanks to Punch for the Picture: Frederick Douglass and the Transnational Jokework of Slave Caricature,"Chaney, Michael A.","American Literature: A Journal of Literary History, Criticism, and Bibliography",15272117,,1-Mar-10,82,1,57,,2010380637,10.1215/00029831-2009-069,,Journal Article,"1800-1899; African American writers; satire; ekphrasis; intertextuality; slavery; abolitionist movement; caricature; American literature; Douglass, Frederick; prose; Punch",,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=2010380637&site=ehost-live
'Like a Motherless Child': Racial Education at the New York African Free School and in My Bondage and My Freedom,"Duane, Anna Mae","American Literature: A Journal of Literary History, Criticism, and Bibliography",15272117,,1-Sep-10,82,3,461,,2010383172,10.1215/00029831-2010-021,,Journal Article,"1800-1899; African American writers; ethnic identity; education; childhood; abolitionist movement; performance; black-white relations; American literature; Douglass, Frederick; My Bondage and My Freedom; autobiography",,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=2010383172&site=ehost-live
